Method_of_Killing,Sex,Domestic_Abuse,Solved_Status
Shooting,Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Unsolved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
Blunt Implement,Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Domestic
Abuse",Solved
Blunt Implement,Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Physical Assault,
no weapon",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
Blunt Implement,Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Female,"Not Domestic
Abuse",Solved
Shooting,Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
Blunt Implement,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Physical Assault,
no weapon",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
Blunt Implement,Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
Shooting,Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Physical Assault,
no weapon",Male,"Domestic
Abuse",Solved
Blunt Implement,Female,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Female,"Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
Blunt Implement,Female,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Unsolved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
Shooting,Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Male,"Not Domestic
Abuse",Solved
"Knife or
Sharp Implement",Female,"Not Domestic
Abuse",Solved
"Physical Assault,
no weapon",Male,"Not Domestic
Abuse",Solved
